hit@10,hit_delta_vs_dense_pp,method,policy,seed_rows,split,token_saving_vs_dense_pct,tokens
0.841726618705036,-2.877697841726623,dense,token_budget_r0.80_m4,1,test,26.824513897951196,1075.767386091127
0.841726618705036,-2.877697841726623,dense,token_budget_r0.80_m5,1,test,26.11591413284614,1086.1846522781775
0.841726618705036,-2.877697841726623,dense,token_budget_r0.80_m6,1,test,24.98760276654052,1102.7721822541967
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.80_m7,1,test,22.207196920266203,1143.6474820143885
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.80_m8,1,test,17.213558658488836,1217.0599520383694
0.8441247002398081,-2.6378896882494063,dense,token_budget_r0.81_m4,1,test,25.96649484536082,1088.3812949640287
0.8441247002398081,-2.6378896882494063,dense,token_budget_r0.81_m5,1,test,25.285951977032482,1098.3860911270983
0.8441247002398081,-2.6378896882494063,dense,token_budget_r0.81_m6,1,test,24.28520161816521,1113.0983213429256
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.81_m7,1,test,21.766442646483096,1150.1270983213428
0.8537170263788969,-1.6786570743405282,dense,token_budget_r0.81_m8,1,test,17.029720736004162,1219.7625899280577
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.82_m4,1,test,25.21858280046978,1099.3764988009593
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.82_m5,1,test,24.550437165600936,1109.1990407673861
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.82_m6,1,test,23.633694375570926,1122.6762589928057
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.82_m7,1,test,21.324872765235536,1156.6187050359713
0.8537170263788969,-1.6786570743405282,dense,token_budget_r0.82_m8,1,test,16.880627691504635,1221.9544364508392
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.83_m4,1,test,24.28242855278612,1113.1390887290167
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.83_m5,1,test,23.63532559049979,1122.6522781774581
0.8465227817745803,-2.3980815347721895,dense,token_budget_r0.83_m6,1,test,22.796881117055978,1134.978417266187
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.83_m7,1,test,20.840075688372693,1163.7458033573141
0.8537170263788969,-1.6786570743405282,dense,token_budget_r0.83_m8,1,test,16.643775283831395,1225.4364508393285
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.84_m4,1,test,23.636630562442896,1122.63309352518
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.84_m5,1,test,22.991158815085466,1132.1223021582734
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.84_m6,1,test,22.178813780503724,1144.0647482014388
0.8537170263788969,-1.6786570743405282,dense,token_budget_r0.84_m7,1,test,20.352016181652075,1170.9208633093526
0.8561151079136691,-1.4388489208633115,dense,token_budget_r0.84_m8,1,test,16.360270129192212,1229.6043165467627
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.85_m4,1,test,22.889207882030536,1133.621103117506
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.85_m5,1,test,22.245530471094867,1143.083932853717
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.85_m6,1,test,21.456838052981865,1154.6786570743404
0.8561151079136691,-1.4388489208633115,dense,token_budget_r0.85_m7,1,test,19.750424115881504,1179.7649880095923
0.8561151079136691,-1.4388489208633115,dense,token_budget_r0.85_m8,1,test,16.104821871329765,1233.3597122302158
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.86_m4,1,test,21.49908651963983,1154.0575539568345
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.86_m5,1,test,20.937948584105428,1162.306954436451
0.8489208633093526,-2.1582733812949617,dense,token_budget_r0.86_m6,1,test,20.79603288529296,1164.3932853717026
0.8537170263788969,-1.6786570743405282,dense,token_budget_r0.86_m7,1,test,19.295315150724257,1186.4556354916067
0.8561151079136691,-1.4388489208633115,dense,token_budget_r0.86_m8,1,test,15.895047631475922,1236.4436450839328
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.87_m4,1,test,20.547435730131802,1168.0479616306955
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.87_m5,1,test,19.989560224455172,1176.2494004796163
0.8513189448441247,-1.918465227817745,dense,token_budget_r0.87_m6,1,test,19.8558006002871,1178.2158273381294
0.8537170263788969,-1.6786570743405282,dense,token_budget_r0.87_m7,1,test,18.5746443951455,1197.0503597122301
