seed,bm25_support_at100,cluster_support_at100,dense_support_at100,first_relevant_prefix_ratio,first_relevant_prefix_tokens,first_relevant_rank,maximum_safe_token_saving,minimum_safe_ratio_grid,multiple_relevant,query_id,relevant_chunks_top10,route_confidence,route_support_count_at100,route_tier,safe_r0.85_m4,safe_r0.95_m4,source_hit,total_tokens_top10,variant
13,1,1,1,0.09189842805320435,76,1,0.532043530834341,0.01,0,lotte_technology_search_100k_q37,1,0.9604440640705266,3,linucb_primary,1,1,1,827,dynamic_gated
13,1,1,1,0.12563667232597622,148,1,0.7215619694397284,0.01,1,lotte_technology_search_100k_q335,2,0.6950911354759932,3,hybrid_lite,1,1,1,1178,dynamic_gated
13,1,1,1,0.3048913043478261,561,1,0.24021739130434783,0.01,0,lotte_technology_search_100k_q411,1,0.9049128275168302,3,linucb_primary,1,1,1,1840,dynamic_gated
13,1,1,1,0.14381270903010032,86,2,0.6705685618729097,0.01,0,lotte_technology_search_100k_q265,1,0.6007069104345769,3,hybrid_lite,1,1,1,598,dynamic_gated
13,0,1,1,0.04135079255685734,60,1,0.7339765678842178,0.01,1,lotte_technology_search_100k_q510,5,0.6606646779346441,2,hybrid_lite,1,1,1,1451,dynamic_gated
13,1,0,1,0.14041514041514042,345,1,0.5877085877085877,0.01,1,lotte_technology_search_100k_q327,5,0.38385703853036035,2,full_dense_fallback,1,1,1,2457,dynamic_gated
13,1,1,1,0.1734006734006734,206,1,0.5471380471380471,0.01,1,lotte_technology_search_100k_q229,4,0.6173396732980581,3,hybrid_lite,1,1,1,1188,dynamic_gated
13,1,1,1,0.11764705882352941,74,1,0.5771065182829889,0.01,0,lotte_technology_search_100k_q168,1,0.6126152606434386,3,hybrid_lite,1,1,1,629,dynamic_gated
13,1,1,1,0.1168032786885246,342,1,0.7042349726775956,0.01,1,lotte_technology_search_100k_q326,2,0.6488111828173829,3,hybrid_lite,1,1,1,2928,dynamic_gated
13,1,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q205,0,0.7848986072906714,3,linucb_primary,0,0,0,625,dynamic_gated
13,1,1,1,0.27365728900255754,214,3,0.6854219948849105,0.01,0,lotte_technology_search_100k_q19,1,0.2880698981886918,3,full_dense_fallback,1,1,1,782,dynamic_gated
13,1,1,1,0.21794871794871795,153,2,0.621082621082621,0.01,0,lotte_technology_search_100k_q167,1,0.7736048293304252,3,linucb_primary,1,1,1,702,dynamic_gated
13,1,1,1,0.48246674727932287,399,3,0.47642079806529625,0.01,1,lotte_technology_search_100k_q52,2,0.7049642979591966,3,hybrid_lite,1,1,1,827,dynamic_gated
